卡牌编号,卡牌名称,卡牌价格,左上角符号颜色,卡牌右上角颜色,右下及底部线条颜色
dlc_1.png,可重复使用着陆器,1,红,红,黄
dlc_2.png,跟踪与数据中继卫星,1,蓝,红,灰
dlc_3.png,NASA深空网络,2,红,黑,绿
dlc_4.png,突破讯息,1,红,黑,黄
dlc_5.png,维护任务,1,红,蓝,黄
dlc_6.png,现场着陆直播,2,红,蓝,灰
dlc_7.png,双探测器,3,红,红,绿
dlc_8.png,量子数据存储,3,红,黄,绿
dlc_9.png,月坑射电望远镜,3,蓝,蓝,灰
dlc_10.png,太空第一人,4,灰,红,绿
dlc_11.png,八灵神星探测器,3,蓝,红,灰
dlc_12.png,双行星飞越机动,1,蓝,黄,黄
dlc_13.png,詹姆斯·克拉克·麦克斯韦望远镜,2,灰,黄,灰
dlc_14.png,可重复使用火箭,2,蓝,蓝,绿
dlc_15.png,迭代工程,3,蓝,蓝,黄
dlc_16.png,宇航员训练体验,2,灰,蓝,黄
dlc_17.png,付费媒体报道,0,蓝,黄,黄
dlc_18.png,合同研究,2,蓝,红,黄
dlc_19.png,凌日系外行星巡天卫星,0,红,黄,黄
dlc_20.png,完美执行的项目,1,灰,红,灰
dlc_21.png,轨道加注,0,蓝,蓝,灰
dlc_22.png,新任务,2,红,黄,绿
dlc_23.png,中性浮力训练,1,灰,黄,绿
dlc_24.png,太空电梯,2,红,黄,灰
dlc_25.png,激光干涉引力波天文台,1,红,红,绿
dlc_26.png,新型AI模型,0,红,蓝,黄
dlc_27.png,更优太阳能板,0,红,红,灰
dlc_28.png,重组,1,蓝,红,黄
dlc_29.png,废弃任务,1,灰,蓝,绿
dlc_30.png,晓号轨道器,2,灰,蓝,绿
dlc_31.png,机智号直升机,1,红,黄,黄
dlc_32.png,MUREP创意竞赛,1,蓝,红,黄
dlc_33.png,延期发射,1,灰,蓝,绿
dlc_34.png,私营部门投资,2,蓝,红,绿
dlc_35.png,NASA系外行星档案,1,红,黄,灰
dlc_36.png,大耳朵射电望远镜,2,灰,黑,灰
dlc_37.png,潘多拉卫星,0,红,黄,灰
dlc_38.png,太空交会,1,蓝,黄,绿
dlc_39.png,大巡游计划,2,红,红,黄
dlc_40.png,霍尔效应推进器,2,蓝,蓝,黄
dlc_41.png,系外行星巡天,2,灰,蓝,绿
dlc_42.png,低频阵列,2,红,黄,灰
